,Destination,claim_count,Claim,claim_freq
0,ALBANIA,0,1,0.0
1,ARGENTINA,1,19,0.05263157894736842
2,ARMENIA,0,1,0.0
3,AUSTRALIA,37,3304,0.011198547215496369
4,AUSTRIA,0,89,0.0
5,AZERBAIJAN,0,7,0.0
6,BAHRAIN,0,12,0.0
7,BANGLADESH,0,96,0.0
8,BARBADOS,0,1,0.0
9,BELARUS,0,2,0.0
10,BELGIUM,0,41,0.0
11,BENIN,0,1,0.0
12,BERMUDA,0,3,0.0
13,BHUTAN,0,4,0.0
14,BOLIVIA,0,10,0.0
15,BOSNIA AND HERZEGOVINA,0,1,0.0
16,BOTSWANA,0,1,0.0
17,BRAZIL,0,34,0.0
18,BRUNEI DARUSSALAM,2,768,0.0026041666666666665
19,BULGARIA,1,12,0.08333333333333333
20,CAMBODIA,1,486,0.00205761316872428
21,CAMEROON,0,1,0.0
22,CANADA,7,479,0.014613778705636743
23,CAYMAN ISLANDS,0,2,0.0
24,CHILE,0,12,0.0
25,CHINA,41,4616,0.00888214904679376
26,COLOMBIA,0,13,0.0
27,COSTA RICA,1,6,0.16666666666666666
28,CROATIA,0,51,0.0
29,CYPRUS,0,15,0.0
30,CZECH REPUBLIC,2,64,0.03125
31,DENMARK,0,95,0.0
32,DOMINICAN REPUBLIC,0,1,0.0
33,ECUADOR,0,7,0.0
34,EGYPT,0,16,0.0
35,ESTONIA,0,7,0.0
36,ETHIOPIA,0,4,0.0
37,FAROE ISLANDS,0,3,0.0
38,FIJI,0,13,0.0
39,FINLAND,1,81,0.012345679012345678
40,FRANCE,8,440,0.01818181818181818
41,FRENCH POLYNESIA,0,2,0.0
42,GEORGIA,0,14,0.0
43,GERMANY,5,423,0.01182033096926714
44,GHANA,0,5,0.0
45,GREECE,1,96,0.010416666666666666
46,GUADELOUPE,0,1,0.0
47,GUAM,0,8,0.0
48,GUATEMALA,0,1,0.0
49,GUINEA,0,4,0.0
50,GUINEA-BISSAU,0,1,0.0
51,GUYANA,0,2,0.0
52,HONG KONG,14,2344,0.005972696245733789
53,HUNGARY,0,22,0.0
54,ICELAND,3,98,0.030612244897959183
55,INDIA,4,1465,0.0027303754266211604
56,INDONESIA,14,3371,0.004153070305547315
57,"IRAN, ISLAMIC REPUBLIC OF",0,2,0.0
58,IRELAND,0,114,0.0
59,ISRAEL,1,44,0.022727272727272728
60,ITALY,9,401,0.022443890274314215
61,JAMAICA,0,3,0.0
62,JAPAN,14,1933,0.007242628039317123
63,JORDAN,0,15,0.0
